email,userType,password,name,bio,phoneNumber
jbruin@ucla.edu,ADMIN,password,Joe Bruin,Joe Bruin's bio,123456789
aileen@ucla.edu,USER,password,Aileen,Aileen's bio,123456789
lucius@ucla.edu,USER,password,Lucius,Lucius's bio,123456789
lorelei@ucla.edu,USER,password,Lorelei,Lorelei's bio,123456789
angeles@ucla.edu,USER,password,Angeles,Angeles's bio,123456789
joette@ucla.edu,USER,password,Joette,Joette's bio,123456789
rhoda@ucla.edu,USER,password,Rhoda,Rhoda's bio,123456789
luz@ucla.edu,USER,password,Luz,Luz's bio,123456789
rosann@ucla.edu,USER,password,Rosann,Rosann's bio,123456789
thos@ucla.edu,USER,password,Thos,Thos's bio,123456789
katelin@ucla.edu,USER,password,Katelin,Katelin's bio,123456789
amare@ucla.edu,USER,password,Amare,Amare's bio,123456789
elyse@ucla.edu,USER,password,Elyse,Elyse's bio,123456789
kandace@ucla.edu,USER,password,Kandace,Kandace's bio,123456789
delta@ucla.edu,USER,password,Delta,Delta's bio,123456789
watt@ucla.edu,USER,password,Watt,Watt's bio,123456789
tatyana@ucla.edu,USER,password,Tatyana,Tatyana's bio,123456789
maymie@ucla.edu,USER,password,Maymie,Maymie's bio,123456789
nereida@ucla.edu,USER,password,Nereida,Nereida's bio,123456789
silvia@ucla.edu,USER,password,Silvia,Silvia's bio,123456789
schley@ucla.edu,USER,password,Schley,Schley's bio,123456789
geraldine@ucla.edu,USER,password,Geraldine,Geraldine's bio,123456789
tripp@ucla.edu,USER,password,Tripp,Tripp's bio,123456789
arley@ucla.edu,USER,password,Arley,Arley's bio,123456789
glendon@ucla.edu,USER,password,Glendon,Glendon's bio,123456789
lilyana@ucla.edu,USER,password,Lilyana,Lilyana's bio,123456789
petra@ucla.edu,USER,password,Petra,Petra's bio,123456789
harris@ucla.edu,USER,password,Harris,Harris's bio,123456789
glennie@ucla.edu,USER,password,Glennie,Glennie's bio,123456789
dorathea@ucla.edu,USER,password,Dorathea,Dorathea's bio,123456789
tremaine@ucla.edu,USER,password,Tremaine,Tremaine's bio,123456789
khalil@ucla.edu,USER,password,Khalil,Khalil's bio,123456789
janessa@ucla.edu,USER,password,Janessa,Janessa's bio,123456789
alissa@ucla.edu,USER,password,Alissa,Alissa's bio,123456789
christian@ucla.edu,USER,password,Christian,Christian's bio,123456789
burgess@ucla.edu,USER,password,Burgess,Burgess's bio,123456789
manuel@ucla.edu,USER,password,Manuel,Manuel's bio,123456789
nyasia@ucla.edu,USER,password,Nyasia,Nyasia's bio,123456789
cierra@ucla.edu,USER,password,Cierra,Cierra's bio,123456789
madelene@ucla.edu,USER,password,Madelene,Madelene's bio,123456789
dixon@ucla.edu,USER,password,Dixon,Dixon's bio,123456789
ivey@ucla.edu,USER,password,Ivey,Ivey's bio,123456789
elvis@ucla.edu,USER,password,Elvis,Elvis's bio,123456789
toshio@ucla.edu,USER,password,Toshio,Toshio's bio,123456789
inez@ucla.edu,USER,password,Inez,Inez's bio,123456789
watson@ucla.edu,USER,password,Watson,Watson's bio,123456789
libbie@ucla.edu,USER,password,Libbie,Libbie's bio,123456789
suzan@ucla.edu,USER,password,Suzan,Suzan's bio,123456789
leticia@ucla.edu,USER,password,Leticia,Leticia's bio,123456789
sean@ucla.edu,USER,password,Sean,Sean's bio,123456789
jerimy@ucla.edu,USER,password,Jerimy,Jerimy's bio,123456789
charlottie@ucla.edu,USER,password,Charlottie,Charlottie's bio,123456789
meredith@ucla.edu,USER,password,Meredith,Meredith's bio,123456789
keara@ucla.edu,USER,password,Keara,Keara's bio,123456789
leonie@ucla.edu,USER,password,Leonie,Leonie's bio,123456789
acie@ucla.edu,USER,password,Acie,Acie's bio,123456789
mychal@ucla.edu,USER,password,Mychal,Mychal's bio,123456789
keli@ucla.edu,USER,password,Keli,Keli's bio,123456789
carole@ucla.edu,USER,password,Carole,Carole's bio,123456789
raymond@ucla.edu,USER,password,Raymond,Raymond's bio,123456789
macey@ucla.edu,USER,password,Macey,Macey's bio,123456789
corrine@ucla.edu,USER,password,Corrine,Corrine's bio,123456789
tuan@ucla.edu,USER,password,Tuan,Tuan's bio,123456789
daren@ucla.edu,USER,password,Daren,Daren's bio,123456789
melvyn@ucla.edu,USER,password,Melvyn,Melvyn's bio,123456789
eliezer@ucla.edu,USER,password,Eliezer,Eliezer's bio,123456789
rashawn@ucla.edu,USER,password,Rashawn,Rashawn's bio,123456789
brett@ucla.edu,USER,password,Brett,Brett's bio,123456789
neal@ucla.edu,USER,password,Neal,Neal's bio,123456789
sincere@ucla.edu,USER,password,Sincere,Sincere's bio,123456789
marcie@ucla.edu,USER,password,Marcie,Marcie's bio,123456789
kittie@ucla.edu,USER,password,Kittie,Kittie's bio,123456789
ammie@ucla.edu,USER,password,Ammie,Ammie's bio,123456789
anson@ucla.edu,USER,password,Anson,Anson's bio,123456789
alphonsus@ucla.edu,USER,password,Alphonsus,Alphonsus's bio,123456789
destany@ucla.edu,USER,password,Destany,Destany's bio,123456789
price@ucla.edu,USER,password,Price,Price's bio,123456789
kiana@ucla.edu,USER,password,Kiana,Kiana's bio,123456789
norwood@ucla.edu,USER,password,Norwood,Norwood's bio,123456789
michaela@ucla.edu,USER,password,Michaela,Michaela's bio,123456789
paula@ucla.edu,USER,password,Paula,Paula's bio,123456789
tressa@ucla.edu,USER,password,Tressa,Tressa's bio,123456789
ardeth@ucla.edu,USER,password,Ardeth,Ardeth's bio,123456789
lovisa@ucla.edu,USER,password,Lovisa,Lovisa's bio,123456789
jeffry@ucla.edu,USER,password,Jeffry,Jeffry's bio,123456789
sondra@ucla.edu,USER,password,Sondra,Sondra's bio,123456789
